DATE,M1SL,M2SL,TB3MS,TB6MS,GDPC1,USRECQ,r3M,r1Y,r2Y,r3Y,r5Y,r7Y,r10Y,r20Y,r30Y,FFR,NYSE_return,SP500_return,DJIA_return
1854-09-30,,,,,,1.0,,,,,,,,,,,,,
1854-12-31,,,,,,0.0,,,,,,,,,,,,,
1855-03-31,,,,,,0.0,,,,,,,,,,,,,
1855-06-30,,,,,,0.0,,,,,,,,,,,,,
1855-09-30,,,,,,0.0,,,,,,,,,,,,,
1855-12-31,,,,,,0.0,,,,,,,,,,,,,
1856-03-31,,,,,,0.0,,,,,,,,,,,,,
1856-06-30,,,,,,0.0,,,,,,,,,,,,,
1856-09-30,,,,,,0.0,,,,,,,,,,,,,
1856-12-31,,,,,,0.0,,,,,,,,,,,,,
1857-03-31,,,,,,0.0,,,,,,,,,,,,,
1857-06-30,,,,,,1.0,,,,,,,,,,,,,
1857-09-30,,,,,,1.0,,,,,,,,,,,,,
1857-12-31,,,,,,1.0,,,,,,,,,,,,,
1858-03-31,,,,,,1.0,,,,,,,,,,,,,
1858-06-30,,,,,,1.0,,,,,,,,,,,,,
1858-09-30,,,,,,1.0,,,,,,,,,,,,,
1858-12-31,,,,,,0.0,,,,,,,,,,,,,
1859-03-31,,,,,,0.0,,,,,,,,,,,,,
1859-06-30,,,,,,0.0,,,,,,,,,,,,,
1859-09-30,,,,,,0.0,,,,,,,,,,,,,
1859-12-31,,,,,,0.0,,,,,,,,,,,,,
1860-03-31,,,,,,0.0,,,,,,,,,,,,,
1860-06-30,,,,,,0.0,,,,,,,,,,,,,
1860-09-30,,,,,,1.0,,,,,,,,,,,,,
1860-12-31,,,,,,1.0,,,,,,,,,,,,,
1861-03-31,,,,,,1.0,,,,,,,,,,,,,
1861-06-30,,,,,,1.0,,,,,,,,,,,,,
1861-09-30,,,,,,0.0,,,,,,,,,,,,,
1861-12-31,,,,,,0.0,,,,,,,,,,,,,
1862-03-31,,,,,,0.0,,,,,,,,,,,,,
1862-06-30,,,,,,0.0,,,,,,,,,,,,,
1862-09-30,,,,,,0.0,,,,,,,,,,,,,
1862-12-31,,,,,,0.0,,,,,,,,,,,,,
1863-03-31,,,,,,0.0,,,,,,,,,,,,,
1863-06-30,,,,,,0.0,,,,,,,,,,,,,
1863-09-30,,,,,,0.0,,,,,,,,,,,,,
1863-12-31,,,,,,0.0,,,,,,,,,,,,,
1864-03-31,,,,,,0.0,,,,,,,,,,,,,
1864-06-30,,,,,,0.0,,,,,,,,,,,,,
1864-09-30,,,,,,0.0,,,,,,,,,,,,,
1864-12-31,,,,,,0.0,,,,,,,,,,,,,
1865-03-31,,,,,,1.0,,,,,,,,,,,,,
1865-06-30,,,,,,1.0,,,,,,,,,,,,,
1865-09-30,,,,,,1.0,,,,,,,,,,,,,
1865-12-31,,,,,,1.0,,,,,,,,,,,,,
1866-03-31,,,,,,1.0,,,,,,,,,,,,,
1866-06-30,,,,,,1.0,,,,,,,,,,,,,
1866-09-30,,,,,,1.0,,,,,,,,,,,,,
1866-12-31,,,,,,1.0,,,,,,,,,,,,,
1867-03-31,,,,,,1.0,,,,,,,,,,,,,
1867-06-30,,,,,,1.0,,,,,,,,,,,,,
1867-09-30,,,,,,1.0,,,,,,,,,,,,,
1867-12-31,,,,,,1.0,,,,,,,,,,,,,
1868-03-31,,,,,,0.0,,,,,,,,,,,,,
1868-06-30,,,,,,0.0,,,,,,,,,,,,,
1868-09-30,,,,,,0.0,,,,,,,,,,,,,
1868-12-31,,,,,,0.0,,,,,,,,,,,,,
1869-03-31,,,,,,0.0,,,,,,,,,,,,,
1869-06-30,,,,,,1.0,,,,,,,,,,,,,
1869-09-30,,,,,,1.0,,,,,,,,,,,,,
1869-12-31,,,,,,1.0,,,,,,,,,,,,,
1870-03-31,,,,,,1.0,,,,,,,,,,,,,
1870-06-30,,,,,,1.0,,,,,,,,,,,,,
1870-09-30,,,,,,1.0,,,,,,,,,,,,,
1870-12-31,,,,,,0.0,,,,,,,,,,,,,
1871-03-31,,,,,,0.0,,,,,,,,,,,,,
1871-06-30,,,,,,0.0,,,,,,,,,,,,,
1871-09-30,,,,,,0.0,,,,,,,,,,,,,
1871-12-31,,,,,,0.0,,,,,,,,,,,,,
1872-03-31,,,,,,0.0,,,,,,,,,,,,,
1872-06-30,,,,,,0.0,,,,,,,,,,,,,
1872-09-30,,,,,,0.0,,,,,,,,,,,,,
1872-12-31,,,,,,0.0,,,,,,,,,,,,,
1873-03-31,,,,,,0.0,,,,,,,,,,,,,
1873-06-30,,,,,,0.0,,,,,,,,,,,,,
1873-09-30,,,,,,1.0,,,,,,,,,,,,,
1873-12-31,,,,,,1.0,,,,,,,,,,,,,
1874-03-31,,,,,,1.0,,,,,,,,,,,,,
1874-06-30,,,,,,1.0,,,,,,,,,,,,,
1874-09-30,,,,,,1.0,,,,,,,,,,,,,
1874-12-31,,,,,,1.0,,,,,,,,,,,,,
1875-03-31,,,,,,1.0,,,,,,,,,,,,,
1875-06-30,,,,,,1.0,,,,,,,,,,,,,
1875-09-30,,,,,,1.0,,,,,,,,,,,,,
1875-12-31,,,,,,1.0,,,,,,,,,,,,,
1876-03-31,,,,,,1.0,,,,,,,,,,,,,
1876-06-30,,,,,,1.0,,,,,,,,,,,,,
1876-09-30,,,,,,1.0,,,,,,,,,,,,,
1876-12-31,,,,,,1.0,,,,,,,,,,,,,
1877-03-31,,,,,,1.0,,,,,,,,,,,,,
1877-06-30,,,,,,1.0,,,,,,,,,,,,,
1877-09-30,,,,,,1.0,,,,,,,,,,,,,
1877-12-31,,,,,,1.0,,,,,,,,,,,,,
1878-03-31,,,,,,1.0,,,,,,,,,,,,,
1878-06-30,,,,,,1.0,,,,,,,,,,,,,
1878-09-30,,,,,,1.0,,,,,,,,,,,,,
1878-12-31,,,,,,1.0,,,,,,,,,,,,,
1879-03-31,,,,,,0.0,,,,,,,,,,,,,
1879-06-30,,,,,,0.0,,,,,,,,,,,,,
1879-09-30,,,,,,0.0,,,,,,,,,,,,,
1879-12-31,,,,,,0.0,,,,,,,,,,,,,
1880-03-31,,,,,,0.0,,,,,,,,,,,,,
1880-06-30,,,,,,0.0,,,,,,,,,,,,,
1880-09-30,,,,,,0.0,,,,,,,,,,,,,
1880-12-31,,,,,,0.0,,,,,,,,,,,,,
1881-03-31,,,,,,0.0,,,,,,,,,,,,,
1881-06-30,,,,,,0.0,,,,,,,,,,,,,
1881-09-30,,,,,,0.0,,,,,,,,,,,,,
1881-12-31,,,,,,0.0,,,,,,,,,,,,,
1882-03-31,,,,,,1.0,,,,,,,,,,,,,
1882-06-30,,,,,,1.0,,,,,,,,,,,,,
1882-09-30,,,,,,1.0,,,,,,,,,,,,,
1882-12-31,,,,,,1.0,,,,,,,,,,,,,
1883-03-31,,,,,,1.0,,,,,,,,,,,,,
1883-06-30,,,,,,1.0,,,,,,,,,,,,,
1883-09-30,,,,,,1.0,,,,,,,,,,,,,
1883-12-31,,,,,,1.0,,,,,,,,,,,,,
1884-03-31,,,,,,1.0,,,,,,,,,,,,,
1884-06-30,,,,,,1.0,,,,,,,,,,,,,
1884-09-30,,,,,,1.0,,,,,,,,,,,,,
1884-12-31,,,,,,1.0,,,,,,,,,,,,,
1885-03-31,,,,,,1.0,,,,,,,,,,,,,
1885-06-30,,,,,,0.0,,,,,,,,,,,,,
1885-09-30,,,,,,0.0,,,,,,,,,,,,,
1885-12-31,,,,,,0.0,,,,,,,,,,,,,
1886-03-31,,,,,,0.0,,,,,,,,,,,,,
1886-06-30,,,,,,0.0,,,,,,,,,,,,,
1886-09-30,,,,,,0.0,,,,,,,,,,,,,
1886-12-31,,,,,,0.0,,,,,,,,,,,,,
1887-03-31,,,,,,0.0,,,,,,,,,,,,,
1887-06-30,,,,,,1.0,,,,,,,,,,,,,
1887-09-30,,,,,,1.0,,,,,,,,,,,,,
1887-12-31,,,,,,1.0,,,,,,,,,,,,,
1888-03-31,,,,,,0.0,,,,,,,,,,,,,
1888-06-30,,,,,,0.0,,,,,,,,,,,,,
1888-09-30,,,,,,0.0,,,,,,,,,,,,,
1888-12-31,,,,,,0.0,,,,,,,,,,,,,
1889-03-31,,,,,,0.0,,,,,,,,,,,,,
1889-06-30,,,,,,0.0,,,,,,,,,,,,,
1889-09-30,,,,,,0.0,,,,,,,,,,,,,
1889-12-31,,,,,,0.0,,,,,,,,,,,,,
1890-03-31,,,,,,0.0,,,,,,,,,,,,,
1890-06-30,,,,,,0.0,,,,,,,,,,,,,
1890-09-30,,,,,,1.0,,,,,,,,,,,,,
1890-12-31,,,,,,1.0,,,,,,,,,,,,,
1891-03-31,,,,,,1.0,,,,,,,,,,,,,
1891-06-30,,,,,,0.0,,,,,,,,,,,,,
1891-09-30,,,,,,0.0,,,,,,,,,,,,,
1891-12-31,,,,,,0.0,,,,,,,,,,,,,
1892-03-31,,,,,,0.0,,,,,,,,,,,,,
1892-06-30,,,,,,0.0,,,,,,,,,,,,,
1892-09-30,,,,,,0.0,,,,,,,,,,,,,
1892-12-31,,,,,,0.0,,,,,,,,,,,,,
1893-03-31,,,,,,1.0,,,,,,,,,,,,,
1893-06-30,,,,,,1.0,,,,,,,,,,,,,
1893-09-30,,,,,,1.0,,,,,,,,,,,,,
1893-12-31,,,,,,1.0,,,,,,,,,,,,,
1894-03-31,,,,,,1.0,,,,,,,,,,,,,
1894-06-30,,,,,,0.0,,,,,,,,,,,,,
1894-09-30,,,,,,0.0,,,,,,,,,,,,,
1894-12-31,,,,,,0.0,,,,,,,,,,,,,
1895-03-31,,,,,,0.0,,,,,,,,,,,,,
1895-06-30,,,,,,0.0,,,,,,,,,,,,,
1895-09-30,,,,,,0.0,,,,,,,,,,,,,
1895-12-31,,,,,,1.0,,,,,,,,,,,,,
1896-03-31,,,,,,1.0,,,,,,,,,,,,,
1896-06-30,,,,,,1.0,,,,,,,,,,,,,
1896-09-30,,,,,,1.0,,,,,,,,,,,,,
1896-12-31,,,,,,1.0,,,,,,,,,,,,,
1897-03-31,,,,,,1.0,,,,,,,,,,,,,
1897-06-30,,,,,,0.0,,,,,,,,,,,,,
1897-09-30,,,,,,0.0,,,,,,,,,,,,,
1897-12-31,,,,,,0.0,,,,,,,,,,,,,
1898-03-31,,,,,,0.0,,,,,,,,,,,,,
1898-06-30,,,,,,0.0,,,,,,,,,,,,,
1898-09-30,,,,,,0.0,,,,,,,,,,,,,
1898-12-31,,,,,,0.0,,,,,,,,,,,,,
1899-03-31,,,,,,0.0,,,,,,,,,,,,,
1899-06-30,,,,,,0.0,,,,,,,,,,,,,
1899-09-30,,,,,,1.0,,,,,,,,,,,,,
1899-12-31,,,,,,1.0,,,,,,,,,,,,,
1900-03-31,,,,,,1.0,,,,,,,,,,,,,
1900-06-30,,,,,,1.0,,,,,,,,,,,,,
1900-09-30,,,,,,1.0,,,,,,,,,,,,,
1900-12-31,,,,,,0.0,,,,,,,,,,,,,
1901-03-31,,,,,,0.0,,,,,,,,,,,,,
1901-06-30,,,,,,0.0,,,,,,,,,,,,,
1901-09-30,,,,,,0.0,,,,,,,,,,,,,
1901-12-31,,,,,,0.0,,,,,,,,,,,,,
1902-03-31,,,,,,0.0,,,,,,,,,,,,,
1902-06-30,,,,,,0.0,,,,,,,,,,,,,
1902-09-30,,,,,,0.0,,,,,,,,,,,,,
1902-12-31,,,,,,1.0,,,,,,,,,,,,,
1903-03-31,,,,,,1.0,,,,,,,,,,,,,
1903-06-30,,,,,,1.0,,,,,,,,,,,,,
1903-09-30,,,,,,1.0,,,,,,,,,,,,,
1903-12-31,,,,,,1.0,,,,,,,,,,,,,
1904-03-31,,,,,,1.0,,,,,,,,,,,,,
1904-06-30,,,,,,1.0,,,,,,,,,,,,,
1904-09-30,,,,,,0.0,,,,,,,,,,,,,
1904-12-31,,,,,,0.0,,,,,,,,,,,,,
1905-03-31,,,,,,0.0,,,,,,,,,,,,,
1905-06-30,,,,,,0.0,,,,,,,,,,,,,
1905-09-30,,,,,,0.0,,,,,,,,,,,,,
1905-12-31,,,,,,0.0,,,,,,,,,,,,,
1906-03-31,,,,,,0.0,,,,,,,,,,,,,
1906-06-30,,,,,,0.0,,,,,,,,,,,,,
1906-09-30,,,,,,0.0,,,,,,,,,,,,,
1906-12-31,,,,,,0.0,,,,,,,,,,,,,
1907-03-31,,,,,,0.0,,,,,,,,,,,,,
1907-06-30,,,,,,1.0,,,,,,,,,,,,,
1907-09-30,,,,,,1.0,,,,,,,,,,,,,
1907-12-31,,,,,,1.0,,,,,,,,,,,,,
1908-03-31,,,,,,1.0,,,,,,,,,,,,,
1908-06-30,,,,,,0.0,,,,,,,,,,,,,
1908-09-30,,,,,,0.0,,,,,,,,,,,,,
1908-12-31,,,,,,0.0,,,,,,,,,,,,,
1909-03-31,,,,,,0.0,,,,,,,,,,,,,
1909-06-30,,,,,,0.0,,,,,,,,,,,,,
1909-09-30,,,,,,0.0,,,,,,,,,,,,,
1909-12-31,,,,,,0.0,,,,,,,,,,,,,
1910-03-31,,,,,,1.0,,,,,,,,,,,,,
1910-06-30,,,,,,1.0,,,,,,,,,,,,,
1910-09-30,,,,,,1.0,,,,,,,,,,,,,
1910-12-31,,,,,,1.0,,,,,,,,,,,,,
1911-03-31,,,,,,1.0,,,,,,,,,,,,,
1911-06-30,,,,,,1.0,,,,,,,,,,,,,
1911-09-30,,,,,,1.0,,,,,,,,,,,,,
1911-12-31,,,,,,0.0,,,,,,,,,,,,,
1912-03-31,,,,,,0.0,,,,,,,,,,,,,
1912-06-30,,,,,,0.0,,,,,,,,,,,,,
1912-09-30,,,,,,0.0,,,,,,,,,,,,,
1912-12-31,,,,,,0.0,,,,,,,,,,,,,
1913-03-31,,,,,,1.0,,,,,,,,,,,,,
1913-06-30,,,,,,1.0,,,,,,,,,,,,,
1913-09-30,,,,,,1.0,,,,,,,,,,,,,
1913-12-31,,,,,,1.0,,,,,,,,,,,,,
1914-03-31,,,,,,1.0,,,,,,,,,,,,,
1914-06-30,,,,,,1.0,,,,,,,,,,,,,
1914-09-30,,,,,,1.0,,,,,,,,,,,,,
1914-12-31,,,,,,0.0,,,,,,,,,,,,,
1915-03-31,,,,,,0.0,,,,,,,,,,,,,
1915-06-30,,,,,,0.0,,,,,,,,,,,,,
1915-09-30,,,,,,0.0,,,,,,,,,,,,,
1915-12-31,,,,,,0.0,,,,,,,,,,,,,
1916-03-31,,,,,,0.0,,,,,,,,,,,,,
1916-06-30,,,,,,0.0,,,,,,,,,,,,,
1916-09-30,,,,,,0.0,,,,,,,,,,,,,
