DATE,GS3M,GS1,GS2,GS3,GS5,GS7,GS10,GS20,GS30
9/1/81,15.61,16.52,16.46,16.22,15.93,15.65,15.32,15.07,14.67
10/1/81,14.23,15.38,15.54,15.5,15.41,15.33,15.15,15.13,14.68
11/1/81,11.35,12.41,12.88,13.11,13.38,13.42,13.39,13.56,13.35
12/1/81,11.32,12.85,13.29,13.66,13.6,13.62,13.72,13.73,13.45
1/1/82,12.92,14.32,14.57,14.64,14.65,14.67,14.59,14.57,14.22
2/1/82,14.28,14.73,14.82,14.73,14.54,14.46,14.43,14.48,14.22
3/1/82,13.31,13.95,14.19,14.13,13.98,13.93,13.86,13.75,13.53
4/1/82,13.34,13.98,14.2,14.18,14,13.94,13.87,13.57,13.37
5/1/82,12.71,13.34,13.78,13.77,13.75,13.74,13.62,13.46,13.24
6/1/82,13.08,14.07,14.47,14.48,14.43,14.47,14.3,14.18,13.92
7/1/82,11.86,13.24,13.8,14,14.07,14.07,13.95,13.76,13.55
8/1/82,9,11.43,12.32,12.62,13,13.14,13.06,12.91,12.77
9/1/82,8.19,10.85,11.78,12.03,12.25,12.36,12.34,12.16,12.07
10/1/82,7.97,9.32,10.19,10.62,10.8,10.88,10.91,10.97,11.17
11/1/82,8.35,9.16,9.8,9.98,10.38,10.53,10.55,10.57,10.54
12/1/82,8.2,8.91,9.66,9.88,10.22,10.49,10.54,10.62,10.54
1/1/83,8.12,8.62,9.33,9.64,10.03,10.36,10.46,10.78,10.63
2/1/83,8.39,8.92,9.64,9.91,10.26,10.56,10.72,11.03,10.88
3/1/83,8.66,9.04,9.66,9.84,10.08,10.31,10.51,10.8,10.63
4/1/83,8.51,8.98,9.57,9.76,10.02,10.29,10.4,10.63,10.48
5/1/83,8.5,8.9,9.49,9.66,10.03,10.3,10.38,10.67,10.53
6/1/83,9.14,9.66,10.18,10.32,10.63,10.83,10.85,11.12,10.93
7/1/83,9.45,10.2,10.69,10.9,11.21,11.35,11.38,11.59,11.4
8/1/83,9.74,10.53,11.07,11.3,11.63,11.77,11.85,11.96,11.82
9/1/83,9.36,10.16,10.79,11.07,11.43,11.61,11.65,11.82,11.63
10/1/83,8.99,9.81,10.57,10.87,11.28,11.47,11.54,11.77,11.58
11/1/83,9.11,9.94,10.66,10.96,11.41,11.61,11.69,11.92,11.75
12/1/83,9.36,10.11,10.84,11.13,11.54,11.78,11.83,12.02,11.88
1/1/84,9.26,9.9,10.64,10.93,11.37,11.58,11.67,11.82,11.75
2/1/84,9.46,10.04,10.79,11.05,11.54,11.75,11.84,12,11.95
3/1/84,9.89,10.59,11.31,11.59,12.02,12.25,12.32,12.45,12.38
4/1/84,10.07,10.9,11.69,11.98,12.37,12.56,12.63,12.65,12.65
5/1/84,10.22,11.66,12.47,12.75,13.17,13.34,13.41,13.43,13.43
6/1/84,10.26,12.08,12.91,13.18,13.48,13.56,13.56,13.54,13.44
7/1/84,10.53,12.03,12.88,13.08,13.27,13.35,13.36,13.36,13.21
8/1/84,10.9,11.82,12.43,12.5,12.68,12.75,12.72,12.71,12.54
9/1/84,10.8,11.58,12.2,12.34,12.53,12.6,12.52,12.42,12.29
10/1/84,10.12,10.9,11.6,11.85,12.06,12.16,12.16,12.04,11.98
11/1/84,8.92,9.82,10.65,10.9,11.33,11.49,11.57,11.66,11.56
12/1/84,8.34,9.33,10.18,10.56,11.07,11.45,11.5,11.64,11.52
1/1/85,8.02,9.02,9.93,10.43,10.93,11.27,11.38,11.58,11.45
2/1/85,8.56,9.29,10.17,10.55,11.13,11.44,11.51,11.7,11.47
3/1/85,8.83,9.86,10.71,11.05,11.52,11.82,11.86,12.06,11.81
4/1/85,8.22,9.14,10.09,10.49,11.01,11.34,11.43,11.69,11.47
5/1/85,7.73,8.46,9.39,9.75,10.34,10.72,10.85,11.19,11.05
6/1/85,7.18,7.8,8.69,9.05,9.6,10.08,10.16,10.57,10.45
7/1/85,7.32,7.86,8.77,9.18,9.7,10.16,10.31,10.68,10.5
8/1/85,7.37,8.05,8.94,9.31,9.81,10.2,10.33,10.73,10.56
9/1/85,7.33,8.07,8.98,9.37,9.81,10.24,10.37,10.8,10.61
10/1/85,7.4,8.01,8.86,9.25,9.69,10.11,10.24,10.67,10.5
